"Date","Import price","Export price","Usage","Solar","Imported","Import cost","Exported","Export profit","Charge rate","Battery","Battery cycles","Bill"
2022-01-01 09:00:00+00:00,0.33,0.15,0.42,0.12,-0.00,-0.00,0,0.00,-0.31,2.28,0.02,-0.00
2022-01-01 09:30:00+00:00,0.33,0.15,0.42,0.12,-0.00,-0.00,0,0.00,-0.31,2.13,0.02,-0.00
2022-01-01 10:00:00+00:00,0.33,0.15,0.42,0.17,-0.00,-0.00,0,0.00,-0.26,2.00,0.01,-0.00
2022-01-01 10:30:00+00:00,0.33,0.15,0.42,0.17,-0.00,-0.00,0,0.00,-0.26,1.87,0.01,-0.00
2022-01-01 11:00:00+00:00,0.33,0.15,0.42,0.14,-0.00,-0.00,0,0.00,-0.29,1.73,0.01,-0.00
2022-01-01 11:30:00+00:00,0.33,0.15,0.42,0.14,-0.00,-0.00,0,0.00,-0.29,1.58,0.01,-0.00
2022-01-01 12:00:00+00:00,0.33,0.15,0.42,0.32,-0.00,-0.00,0,0.00,-0.12,1.52,0.01,-0.00
2022-01-01 12:30:00+00:00,0.33,0.15,0.42,0.32,-0.00,-0.00,0,0.00,-0.12,1.47,0.01,-0.00
2022-01-01 13:00:00+00:00,0.20,0.15,0.42,0.12,3.31,0.33,0,0.00,3.00,2.82,0.15,0.33
2022-01-01 13:30:00+00:00,0.20,0.15,0.42,0.12,3.31,0.33,0,0.00,3.00,4.17,0.15,0.33
2022-01-01 14:00:00+00:00,0.20,0.15,0.42,0.27,1.50,0.15,0,0.00,1.33,4.77,0.07,0.15
2022-01-01 14:30:00+00:00,0.20,0.15,0.42,0.27,0.54,0.05,0,0.00,0.37,4.93,0.02,0.05
2022-01-01 15:00:00+00:00,0.20,0.15,0.42,0.08,0.45,0.04,0,0.00,0.10,4.98,0.01,0.04
2022-01-01 15:30:00+00:00,0.20,0.15,0.42,0.08,0.38,0.04,0,0.00,0.03,4.99,0.00,0.04
2022-01-01 16:00:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,4.15,0.08,-0.00
2022-01-01 16:30:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,3.30,0.08,-0.00
2022-01-01 17:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.66,0.06,-0.00
2022-01-01 17:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.03,0.06,-0.00
2022-01-01 18:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,1.39,0.06,-0.00
2022-01-01 18:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.76,0.06,-0.00
2022-01-01 19:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.12,0.06,-0.00
2022-01-01 19:30:00+00:00,0.33,0.15,1.27,0.00,1.03,0.17,0,0.00,-0.24,0.00,0.01,0.17
2022-01-01 20:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-01 20:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-01 21:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-01 21:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-01 22:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 22:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 23:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-01 23:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 00:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 00:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 01:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 01:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 02:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 02:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 03:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 03:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 04:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,1.35,0.15,0.34
2022-01-02 04:30:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,2.70,0.15,0.34
2022-01-02 05:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,4.05,0.15,0.34
2022-01-02 05:30:00+00:00,0.20,0.15,0.42,0.00,1.94,0.19,0,0.00,1.52,4.73,0.08,0.19
2022-01-02 06:00:00+00:00,0.20,0.15,1.70,0.00,2.12,0.21,0,0.00,0.43,4.93,0.02,0.21
2022-01-02 06:30:00+00:00,0.20,0.15,1.70,0.00,1.81,0.18,0,0.00,0.12,4.98,0.01,0.18
2022-01-02 07:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,4.34,0.06,-0.00
2022-01-02 07:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.71,0.06,-0.00
2022-01-02 08:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.07,0.06,-0.00
2022-01-02 08:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.44,0.06,-0.00
2022-01-02 09:00:00+00:00,0.33,0.15,0.42,0.00,-0.00,-0.00,0,0.00,-0.42,2.22,0.02,-0.00
2022-01-02 09:30:00+00:00,0.33,0.15,0.42,0.00,-0.00,-0.00,0,0.00,-0.42,2.01,0.02,-0.00
2022-01-02 10:00:00+00:00,0.33,0.15,0.42,0.34,-0.00,-0.00,0,0.00,-0.10,1.96,0.00,-0.00
2022-01-02 10:30:00+00:00,0.33,0.15,0.42,0.34,-0.00,-0.00,0,0.00,-0.10,1.92,0.00,-0.00
2022-01-02 11:00:00+00:00,0.33,0.15,0.42,1.06,-0.00,-0.00,0,0.00,0.58,2.18,0.03,-0.00
2022-01-02 11:30:00+00:00,0.33,0.15,0.42,1.06,-0.00,-0.00,0,0.00,0.58,2.44,0.03,-0.00
2022-01-02 12:00:00+00:00,0.33,0.15,0.42,0.42,-0.00,-0.00,0,0.00,-0.02,2.43,0.00,-0.00
2022-01-02 12:30:00+00:00,0.33,0.15,0.42,0.42,-0.00,-0.00,0,0.00,-0.02,2.41,0.00,-0.00
2022-01-02 13:00:00+00:00,0.20,0.15,0.42,0.61,2.84,0.28,0,0.00,3.00,3.76,0.15,0.28
2022-01-02 13:30:00+00:00,0.20,0.15,0.42,0.61,1.82,0.18,0,0.00,1.98,4.65,0.10,0.18
2022-01-02 14:00:00+00:00,0.20,0.15,0.42,0.69,0.33,0.03,0,0.00,0.55,4.90,0.03,0.03
2022-01-02 14:30:00+00:00,0.20,0.15,0.42,0.69,0,0.00,0.07,0.01,0.15,4.97,0.01,-0.01
2022-01-02 15:00:00+00:00,0.20,0.15,0.42,0.42,0.07,0.01,0,0.00,0.04,4.99,0.00,0.01
2022-01-02 15:30:00+00:00,0.20,0.15,0.42,0.42,0.04,0.00,0,0.00,0.01,5.00,0.00,0.00
2022-01-02 16:00:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,4.15,0.08,-0.00
2022-01-02 16:30:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,3.30,0.08,-0.00
2022-01-02 17:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.67,0.06,-0.00
2022-01-02 17:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.03,0.06,-0.00
2022-01-02 18:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,1.40,0.06,-0.00
2022-01-02 18:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.76,0.06,-0.00
2022-01-02 19:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.12,0.06,-0.00
2022-01-02 19:30:00+00:00,0.33,0.15,1.27,0.00,1.02,0.17,0,0.00,-0.25,0.00,0.01,0.17
2022-01-02 20:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-02 20:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-02 21:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-02 21:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-02 22:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 22:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 23:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-02 23:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 00:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 00:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 01:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 01:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 02:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 02:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 03:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 03:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 04:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,1.35,0.15,0.34
2022-01-03 04:30:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,2.70,0.15,0.34
2022-01-03 05:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,4.05,0.15,0.34
2022-01-03 05:30:00+00:00,0.20,0.15,0.42,0.00,1.94,0.19,0,0.00,1.52,4.73,0.08,0.19
2022-01-03 06:00:00+00:00,0.20,0.15,1.70,0.00,2.12,0.21,0,0.00,0.43,4.93,0.02,0.21
2022-01-03 06:30:00+00:00,0.20,0.15,1.70,0.00,1.81,0.18,0,0.00,0.12,4.98,0.01,0.18
2022-01-03 07:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,4.34,0.06,-0.00
2022-01-03 07:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.71,0.06,-0.00
2022-01-03 08:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.07,0.06,-0.00
2022-01-03 08:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.44,0.06,-0.00
2022-01-03 09:00:00+00:00,0.33,0.15,0.42,0.21,-0.00,-0.00,0,0.00,-0.23,2.32,0.01,-0.00
2022-01-03 09:30:00+00:00,0.33,0.15,0.42,0.21,-0.00,-0.00,0,0.00,-0.23,2.21,0.01,-0.00
2022-01-03 10:00:00+00:00,0.33,0.15,0.42,0.21,-0.00,-0.00,0,0.00,-0.23,2.10,0.01,-0.00
2022-01-03 10:30:00+00:00,0.33,0.15,0.42,0.21,-0.00,-0.00,0,0.00,-0.23,1.98,0.01,-0.00
2022-01-03 11:00:00+00:00,0.33,0.15,0.42,1.46,-0.00,-0.00,0,0.00,0.96,2.41,0.05,-0.00
2022-01-03 11:30:00+00:00,0.33,0.15,0.42,1.46,-0.00,-0.00,0,0.00,0.96,2.85,0.05,-0.00
2022-01-03 12:00:00+00:00,0.33,0.15,0.42,2.82,-0.00,-0.00,0,0.00,2.25,3.86,0.11,-0.00
2022-01-03 12:30:00+00:00,0.33,0.15,0.42,2.82,0,0.00,0.43,0.03,1.82,4.68,0.09,-0.03
2022-01-03 13:00:00+00:00,0.20,0.15,0.42,2.51,0,0.00,1.45,0.11,0.51,4.91,0.03,-0.11
2022-01-03 13:30:00+00:00,0.20,0.15,0.42,2.51,0,0.00,1.82,0.14,0.14,4.97,0.01,-0.14
2022-01-03 14:00:00+00:00,0.20,0.15,0.42,0.81,0,0.00,0.30,0.02,0.04,4.99,0.00,-0.02
2022-01-03 14:30:00+00:00,0.20,0.15,0.42,0.81,0,0.00,0.33,0.02,0.01,5.00,0.00,-0.02
2022-01-03 15:00:00+00:00,0.20,0.15,0.42,0.52,0,0.00,0.07,0.01,0.00,5.00,0.00,-0.01
2022-01-03 15:30:00+00:00,0.20,0.15,0.42,0.52,0,0.00,0.07,0.01,0.00,5.00,0.00,-0.01
2022-01-03 16:00:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,4.15,0.08,-0.00
2022-01-03 16:30:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,3.30,0.08,-0.00
2022-01-03 17:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.67,0.06,-0.00
2022-01-03 17:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.03,0.06,-0.00
2022-01-03 18:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,1.40,0.06,-0.00
2022-01-03 18:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.76,0.06,-0.00
2022-01-03 19:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.13,0.06,-0.00
2022-01-03 19:30:00+00:00,0.33,0.15,1.27,0.00,1.02,0.17,0,0.00,-0.25,0.00,0.01,0.17
2022-01-03 20:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-03 20:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-03 21:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-03 21:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-03 22:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 22:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 23:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-03 23:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 00:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 00:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 01:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 01:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 02:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 02:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 03:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 03:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 04:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,1.35,0.15,0.34
2022-01-04 04:30:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,2.70,0.15,0.34
2022-01-04 05:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,4.05,0.15,0.34
2022-01-04 05:30:00+00:00,0.20,0.15,0.42,0.00,1.94,0.19,0,0.00,1.52,4.73,0.08,0.19
2022-01-04 06:00:00+00:00,0.20,0.15,1.70,0.00,2.12,0.21,0,0.00,0.43,4.93,0.02,0.21
2022-01-04 06:30:00+00:00,0.20,0.15,1.70,0.00,1.81,0.18,0,0.00,0.12,4.98,0.01,0.18
2022-01-04 07:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,4.34,0.06,-0.00
2022-01-04 07:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.71,0.06,-0.00
2022-01-04 08:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.07,0.06,-0.00
2022-01-04 08:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.44,0.06,-0.00
2022-01-04 09:00:00+00:00,0.33,0.15,0.42,0.01,-0.00,-0.00,0,0.00,-0.41,2.23,0.02,-0.00
2022-01-04 09:30:00+00:00,0.33,0.15,0.42,0.01,-0.00,-0.00,0,0.00,-0.41,2.02,0.02,-0.00
2022-01-04 10:00:00+00:00,0.33,0.15,0.42,0.09,-0.00,-0.00,0,0.00,-0.33,1.85,0.02,-0.00
2022-01-04 10:30:00+00:00,0.33,0.15,0.42,0.09,-0.00,-0.00,0,0.00,-0.33,1.69,0.02,-0.00
2022-01-04 11:00:00+00:00,0.33,0.15,0.42,1.59,-0.00,-0.00,0,0.00,1.09,2.18,0.05,-0.00
2022-01-04 11:30:00+00:00,0.33,0.15,0.42,1.59,-0.00,-0.00,0,0.00,1.09,2.66,0.05,-0.00
2022-01-04 12:00:00+00:00,0.33,0.15,0.42,3.23,-0.00,-0.00,0,0.00,2.65,3.86,0.13,-0.00
2022-01-04 12:30:00+00:00,0.33,0.15,0.42,3.23,0,0.00,0.82,0.06,1.83,4.68,0.09,-0.06
2022-01-04 13:00:00+00:00,0.20,0.15,0.42,0.09,0.85,0.08,0,0.00,0.51,4.91,0.03,0.08
2022-01-04 13:30:00+00:00,0.20,0.15,0.42,0.09,0.48,0.05,0,0.00,0.14,4.97,0.01,0.05
2022-01-04 14:00:00+00:00,0.20,0.15,0.42,0.57,0,0.00,0.08,0.01,0.04,4.99,0.00,-0.01
2022-01-04 14:30:00+00:00,0.20,0.15,0.42,0.57,0,0.00,0.10,0.01,0.01,5.00,0.00,-0.01
2022-01-04 15:00:00+00:00,0.20,0.15,0.42,0.10,0.33,0.03,0,0.00,0.00,5.00,0.00,0.03
2022-01-04 15:30:00+00:00,0.20,0.15,0.42,0.10,0.33,0.03,0,0.00,0.00,5.00,0.00,0.03
2022-01-04 16:00:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,4.15,0.08,-0.00
2022-01-04 16:30:00+00:00,0.52,0.15,1.70,0.00,-0.00,-0.00,0,0.00,-1.70,3.30,0.08,-0.00
2022-01-04 17:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.67,0.06,-0.00
2022-01-04 17:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.03,0.06,-0.00
2022-01-04 18:00:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,1.40,0.06,-0.00
2022-01-04 18:30:00+00:00,0.52,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.76,0.06,-0.00
2022-01-04 19:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,0.13,0.06,-0.00
2022-01-04 19:30:00+00:00,0.33,0.15,1.27,0.00,1.02,0.17,0,0.00,-0.25,0.00,0.01,0.17
2022-01-04 20:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-04 20:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-04 21:00:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-04 21:30:00+00:00,0.33,0.15,1.27,0.00,1.27,0.21,0,0.00,-0.00,0.00,0.00,0.21
2022-01-04 22:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 22:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 23:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-04 23:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 00:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 00:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 01:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 01:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 02:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 02:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 03:00:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 03:30:00+00:00,0.33,0.15,0.42,0.00,0.42,0.07,0,0.00,-0.00,0.00,0.00,0.07
2022-01-05 04:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,1.35,0.15,0.34
2022-01-05 04:30:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,2.70,0.15,0.34
2022-01-05 05:00:00+00:00,0.20,0.15,0.42,0.00,3.42,0.34,0,0.00,3.00,4.05,0.15,0.34
2022-01-05 05:30:00+00:00,0.20,0.15,0.42,0.00,1.94,0.19,0,0.00,1.52,4.73,0.08,0.19
2022-01-05 06:00:00+00:00,0.20,0.15,1.70,0.00,2.12,0.21,0,0.00,0.43,4.93,0.02,0.21
2022-01-05 06:30:00+00:00,0.20,0.15,1.70,0.00,1.81,0.18,0,0.00,0.12,4.98,0.01,0.18
2022-01-05 07:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,4.34,0.06,-0.00
2022-01-05 07:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.71,0.06,-0.00
2022-01-05 08:00:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,3.07,0.06,-0.00
2022-01-05 08:30:00+00:00,0.33,0.15,1.27,0.00,-0.00,-0.00,0,0.00,-1.27,2.44,0.06,-0.00
2022-01-05 09:00:00+00:00,0.33,0.15,0.42,1.37,-0.00,-0.00,0,0.00,0.88,2.83,0.04,-0.00
2022-01-05 09:30:00+00:00,0.33,0.15,0.42,1.37,-0.00,-0.00,0,0.00,0.88,3.22,0.04,-0.00
2022-01-05 10:00:00+00:00,0.33,0.15,0.42,2.74,-0.00,-0.00,0,0.00,2.18,4.21,0.11,-0.00
